secid,ticker,exercise_style,date,close,rate,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,290000,235.6,236.5,20,130
121812,GOOG,A,6/22/07,524.98,0,7/21/07,,P,290000,0,0.05,0,0
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,300000,225.7,226.6,1,116
121812,GOOG,A,6/22/07,524.98,0,7/21/07,,P,300000,0,0.05,0,0
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/21/07,C,310000,215.7,216.6,0,100
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/20/07,P,310000,0,0.05,0,101
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/19/07,C,320000,205.7,206.6,0,355
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/5/07,P,320000,0,0.05,0,228
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,330000,195.8,196.6,10,61
121812,GOOG,A,6/22/07,524.98,0,7/21/07,5/29/07,P,330000,0,0.05,0,20
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/21/07,C,340000,185.8,186.7,0,50
121812,GOOG,A,6/22/07,524.98,0,7/21/07,5/31/07,P,340000,0,0.05,0,252
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,350000,175.8,176.7,10,33
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/8/07,P,350000,0,0.05,0,212
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/21/07,C,360000,166,166.8,0,61
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,360000,0,0.05,3,167
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,370000,156,156.8,10,24
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/15/07,P,370000,0,0.1,0,125
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/19/07,C,380000,145.9,146.9,0,86
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/19/07,P,380000,0,0.1,0,267
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,390000,136.1,137,15,43
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,390000,0.05,0.1,30,1030
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,400000,126.1,127,31,389
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,400000,0.05,0.15,167,799
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,410000,116.2,117.1,4,52
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,410000,0.1,0.2,41,483
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,420000,106.2,107.2,51,470
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,420000,0.1,0.2,84,1236
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,430000,96.4,97.3,62,291
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,430000,0.2,0.3,148,1808
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,440000,86.6,87.4,62,309
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,440000,0.35,0.45,377,2252
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,450000,76.8,77.8,248,1739
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,450000,0.5,0.6,852,3876
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,460000,67.2,68.1,147,1511
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,460000,0.9,0.95,815,5574
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,470000,58,58.6,743,2440
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,470000,1.4,1.5,1414,5124
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,480000,48.9,49.4,781,4268
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,480000,2.25,2.3,1730,5588
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,490000,40.2,40.7,1108,6674
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,490000,3.5,3.7,2491,4835
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,500000,32.2,32.5,2029,4804
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,500000,5.5,5.7,2781,10915
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,510000,25,25.3,5916,7476
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,510000,8.2,8.3,3797,4494
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,520000,18.9,19,5501,7913
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,520000,12,12.2,3550,4389
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,530000,13.6,13.8,5083,7366
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,530000,16.8,16.9,3197,1895
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,540000,9.5,9.7,4747,4844
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,540000,22.6,23,759,1180
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,550000,6.5,6.6,6843,6414
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,550000,29.5,29.9,229,623
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,560000,4.1,4.2,3200,11178
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,560000,37.4,37.9,248,8293
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,570000,2.7,2.75,1828,4388
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,570000,46,46.5,259,869
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,580000,1.6,1.75,1212,3418
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,580000,55.2,55.8,79,311
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,590000,0.95,1.1,1179,1587
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,590000,64.8,65.7,48,1
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,600000,0.55,0.6,1489,3204
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,600000,74.7,75.6,34,3
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,610000,0.35,0.4,378,1434
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,610000,84.7,85.6,4,0
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,620000,0.2,0.3,258,1049
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,620000,94.7,95.6,1,0
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,630000,0.1,0.15,38,1424
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,P,630000,104.7,105.6,3,0
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/20/07,C,640000,0.05,0.15,0,195
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/13/07,P,640000,114.7,115.6,0,0
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,650000,0,0.1,7,86
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/20/07,P,650000,124.7,125.6,0,0
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/22/07,C,660000,0,0.1,7,133
121812,GOOG,A,6/22/07,524.98,0,7/21/07,6/20/07,P,660000,134.7,135.7,0,0
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,330000,197.2,197.9,10,30
121812,GOOG,A,6/22/07,524.98,0,8/18/07,,P,330000,0,0.05,0,0
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/21/07,C,340000,187.2,188.1,0,74
121812,GOOG,A,6/22/07,524.98,0,8/18/07,,P,340000,0,0.1,0,0
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/22/07,C,350000,177.3,178.2,10,10
121812,GOOG,A,6/22/07,524.98,0,8/18/07,6/19/07,P,350000,0,0.1,0,200
